symbol,name,price,market_cap,volume_24h,percent_change_24h
ANIME,Animecoin,0.018712455866618394,103640895.18804716,49118270.63271372,13.01830601
ANKR,Ankr,0.01633854934345361,163385493.4345361,25984319.85650687,10.5103659
APE,APEcoin.dev,0.6780759478272134,0.0,19434.6295322,7.23620701
API3,API3,0.7142236553769581,61724621.03206705,24067417.73463631,9.56117267
APT,Aptos,5.024153187068665,3244741540.6744204,290421414.8265229,9.62850494
AR,Arweave,6.521684557082274,428164673.6465691,64723540.89645367,13.7214885
ARB,Arbitrum,0.4189909178774682,2079551769.2856414,579611046.4107956,16.52264723
ARK,Ark,0.41360032339689246,78539747.47956018,9401610.20508239,8.64139669
ARKM,Arkham,0.5585978842276893,125740383.73965286,120774407.09296238,13.7309435
ARPA,ARPA,0.022352371288978445,33966363.852918506,23128317.10390828,8.72523475
ASTR,Astar,0.02534167200887218,206094102.90725935,11478700.93759804,12.85322985
ATA,Automata Network,0.05425375132732215,31889922.5332884,7753227.34304886,13.38377932
ATH,Aethir,0.03028346672730456,299668419.35326487,47725567.04133996,10.8039708
ATOM,Cosmos,4.759325619561201,1860583172.659965,203559688.3113249,10.52880159
AUCTION,Bounce Token,10.115065913513346,61602691.82767581,20776523.62075511,8.3375327
AUDIO,Audius,0.06309225655655061,84464763.19700137,15225104.07173085,8.31526794
AVA,AVA,0.03790837599474622,37908151.19807657,5850156.85432236,13.5103346
AVAX,Avalanche,21.40632268679711,9039361023.840351,661542300.3677993,9.97035186
AXL,Axelar,0.37920335357485535,378832522.92142856,51418949.12148658,12.99633309
AXS,Axie Infinity,2.5624696834179663,425349208.1085243,50709929.8727853,11.95425463
BABY,Baby,1.1964847718319647e-07,117418.9509924988,721.2783431,8.25373618
BANANA,ApeSwap,5.524221537857415e-09,2.0323579660199096,0.0,1.8209409
BAND,Band Protocol,0.6935161275347408,113275895.40081356,13832301.41833845,11.26993793
BAT,Basic Attention Token,0.1471653946907816,220110624.07744303,20945126.3423156,9.65392433
BCH,Bitcoin Cash,533.2629783455078,10609671900.758059,551528812.8839512,5.94934204
BEAM,Beam,0.03222025776229454,4857318.561783536,95943.10395631,4.86555692
BEL,Bella Protocol,0.2964380063558332,23715040.508466654,23966077.77136956,16.71607866
BICO,Biconomy,0.10920502300238437,105395482.1557676,19590298.51716872,11.56019577
BIGTIME,Big Time,0.06004218065736261,116775733.00408584,42214267.97811923,10.59847721
BIO,Bio Protocol,0.06639393702261145,105197613.60844298,54595624.97972117,14.46741787
BLAST,SafeBlast,3.090018296845289e-09,542452.7120111905,5.3853234,-0.0500101
BLUR,Blur,0.08496521855560114,205450228.4685973,29589078.07031593,13.25049437
BLZ,Bluzelle,0.034927172600552954,16302413.823213415,1572249.02986881,4.74803419
BNB,BNB,693.0838543147465,96539257137.47151,2420870531.6111827,3.53829873
BNT,Bancor,0.7006101587586478,80701954.24765724,9036372.36478164,8.73348745
BOME,Book of Meme 3.0,9.52054093908861e-10,0.0,1242910.12405709,249.60697049
BONK,Bonk,2.3580672411757088e-05,1905695490.8798802,882087765.6963065,6.86156033
BRETT,Brett (ETH),0.1603787464531428,11133492.578777172,1479288.41791126,6.60191487
BTC,Bitcoin,117970.1498262922,2346529857836.499,128571147356.7634,6.12400911
BTT,Bitteam token,6.70003967277134e-05,30887.182757475082,5.25022516,1.46438369
C98,Coin98,0.05492711265039666,53111451.242380075,29388871.5921075,17.30532696
CAKE,PancakeSwap,2.5460524754652836,879445015.1424524,123671275.92458548,7.06486094
CAT,NOT,6.0382030815791866e-05,0.0,404380.16615258,141.65763781
CATI,Catizen,0.09443058048336353,30764538.815675005,29286853.09548604,5.49115445
CELO,Celo,0.3291647786979932,189608625.19516912,32108078.35071543,9.62707502
CELR,Celer Network,0.008954986907116519,69700460.97064129,13223202.28982356,13.28326736
CETUS,Cetus Protocol,0.11730138866772034,96306140.02792297,39046694.31372993,17.7678004
CFG,Centrifuge,0.21700517567730304,121715746.32180543,2721975.95846077,11.5271788
CFX,Conflux,0.09603387131332615,490117313.0476919,90379432.51666409,23.210645
CHILLGUY,Just a chill guy (Ethereum),0.0007714293604280168,0.0,22203.2664701,18.90936206
CHR,Chromia,0.09543656189634164,80594450.49189588,14459196.70730542,12.75544227
CHZ,Chiliz,0.041233554657055194,400469087.34777886,43230051.90851297,8.93723214
