id	coin_name	current_price	symbol	currency	price	price_change_24h	marketcap	volume_24h	last_updated	volume_spike	date_added	exchange_id
3088	Lido DAO	1.109069921992	LDO	USD	1.109069921992	6.50385777	994751437.9041	126309952.7602	2025-07-19 20:42:00	NULL	2020-12-15 00:00:00	1
3089	Decentraland	0.336857004502	MANA	USD	0.336857004502	4.10611329	663517014.1144	48004171.4339	2025-07-19 20:42:00	NULL	2017-09-17 00:00:00	1
3090	Maverick Protocol	0.051002542354	MAV	USD	0.051002542354	4.91121422	34455363.3083	10183957.0764	2025-07-19 20:42:00	NULL	2022-02-10 08:23:09	1
3091	Magic Eden	0.859278146458	ME	USD	0.859278146458	3.12195052	129955160.0585	20236681.7996	2025-07-19 20:42:00	NULL	2024-07-15 10:03:01	1
3092	Metis	18.477175515822	METIS	USD	18.477175515822	2.31446201	119960001.1445	9023488.0336	2025-07-19 20:42:00	NULL	2021-05-08 00:00:00	1
3093	Maker	2000.606624208479	MKR	USD	2000.606624208479	0.40287743	0.0000	87307591.3950	2025-07-19 20:41:00	NULL	2017-01-29 00:00:00	1
3094	Moca Network	0.082756865590	MOCA	USD	0.082756865590	2.54904916	281140397.7023	13340681.5779	2025-07-19 20:42:00	NULL	2024-07-04 07:14:36	1
3095	Mog Coin	0.000001576489	MOG	USD	0.000001576489	4.80812758	615725237.1758	29402739.8513	2025-07-19 20:42:00	NULL	2023-07-21 19:17:41	1
3096	NEAR Protocol	2.922787316653	NEAR	USD	2.922787316653	6.85600260	3619279674.8366	230244778.9235	2025-07-19 20:41:00	NULL	2020-08-11 00:00:00	1
3097	Newton Protocol	0.314442312479	NEWT	USD	0.314442312479	1.72994738	67605097.1830	24163371.7613	2025-07-19 20:42:00	NULL	2025-06-19 01:54:19	1
3098	Notcoin	0.002313692908	NOT	USD	0.002313692908	3.03323431	230058928.1802	23898961.1993	2025-07-19 20:42:00	NULL	2024-05-09 15:38:45	1
3099	Ondo	1.035834123576	ONDO	USD	1.035834123576	4.73302536	3272311378.5830	194601571.7495	2025-07-19 20:42:00	NULL	2024-01-18 12:06:25	1
3100	Harmony	0.012469455728	ONE	USD	0.012469455728	2.70630991	182797688.0398	16017016.8588	2025-07-19 20:42:00	NULL	2019-06-01 00:00:00	1
3101	Ontology Gas	0.203706920311	ONG	USD	0.203706920311	3.49346220	85629165.2543	3942832.6835	2025-07-19 20:41:00	NULL	2018-08-23 00:00:00	1
3102	Pudgy Penguins	0.030631201171	PENGU	USD	0.030631201171	-0.42233205	1925489438.3506	1113026934.0055	2025-07-19 20:42:00	NULL	2024-12-17 14:00:00	1
3103	Phala Network	0.118147540129	PHA	USD	0.118147540129	3.30295365	94925040.5352	14381943.3911	2025-07-19 20:42:00	NULL	2020-09-13 00:00:00	1
3104	Phoenix	0.616664070776	PHB	USD	0.616664070776	11.67881335	35367285.7098	27773694.8439	2025-07-19 20:42:00	NULL	2021-11-05 14:03:22	1
3105	POL (prev. MATIC)	0.238950766925	POL	USD	0.238950766925	2.77495197	2500967766.8496	152503870.4104	2025-07-19 20:42:00	NULL	2023-10-30 14:43:57	1
3106	Portal	0.056035078877	PORTAL	USD	0.056035078877	1.63502663	32168171.0127	13575775.8766	2025-07-19 20:42:00	NULL	2024-02-21 08:01:46	1
3107	Wayfinder	0.147649476954	PROMPT	USD	0.147649476954	3.12944833	0.0000	21415678.9889	2025-07-19 20:41:00	NULL	2025-04-09 13:10:36	1
3108	Pump.fun	0.004198826667	PUMP	USD	0.004198826667	5.11742447	1486384640.2566	607469971.4794	2025-07-19 20:42:00	NULL	2025-05-14 18:51:49	1
3109	Qtum	2.474617353360	QTUM	USD	2.474617353360	5.34416169	261646552.5700	67409205.1755	2025-07-19 20:42:00	NULL	2017-05-24 00:00:00	1
